Date,Name,Year,Letterboxd URI
2025-01-20,Barbie,2023,https://boxd.it/bCLK
2025-01-20,Fight Club,1999,https://boxd.it/2a9q
2025-01-20,Interstellar,2014,https://boxd.it/4VZ8
2025-01-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2025-01-20,Oppenheimer,2023,https://boxd.it/wUow
2025-01-20,Whiplash,2014,https://boxd.it/7bQA
2025-01-20,Pulp Fiction,1994,https://boxd.it/29Pq
2025-01-20,Dune,2021,https://boxd.it/fA7G
2025-01-20,Get Out,2017,https://boxd.it/eOCm
2025-01-20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2025-01-20,The Batman,2022,https://boxd.it/eDGs
2025-01-20,The Truman Show,1998,https://boxd.it/18U8
2025-01-20,Knives Out,2019,https://boxd.it/jWEA
2025-01-20,The Dark Knight,2008,https://boxd.it/2b0k
2025-01-20,Inception,2010,https://boxd.it/1skk
2025-01-20,Dune: Part Two,2024,https://boxd.it/pUfA
2025-01-20,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2025-01-20,Spirited Away,2001,https://boxd.it/2b4m
2025-01-20,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-01-20,The Shining,1980,https://boxd.it/29Nu
2025-01-20,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2025-01-20,10 Things I Hate About You,1999,https://boxd.it/23AO
2025-01-20,Forrest Gump,1994,https://boxd.it/728
2025-01-20,Se7en,1995,https://boxd.it/29zs
2025-01-20,Inglourious Basterds,2009,https://boxd.it/1JzG
2025-01-20,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-01-20,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2025-01-20,The Godfather,1972,https://boxd.it/2aNK
2025-01-20,Shutter Island,2010,https://boxd.it/1U82
2025-01-20,Ratatouille,2007,https://boxd.it/27ww
2025-01-20,Avengers: Infinity War,2018,https://boxd.it/9vEe
2025-01-20,Django Unchained,2012,https://boxd.it/2cCk
2025-01-20,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2025-01-20,Avengers: Endgame,2019,https://boxd.it/9vE4
2025-01-20,Deadpool & Wolverine,2024,https://boxd.it/jq8s
2025-01-20,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2025-01-20,Glass Onion,2022,https://boxd.it/oCkK
2025-01-20,(500) Days of Summer,2009,https://boxd.it/1EmM
2025-01-20,Good Will Hunting,1997,https://boxd.it/2ahY
2025-01-20,The Social Network,2010,https://boxd.it/17ue
2025-01-20,The Matrix,1999,https://boxd.it/2a1m
2025-01-20,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-01-20,Nope,2022,https://boxd.it/sDCe
2025-01-20,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2025-01-20,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-01-20,Blade Runner 2049,2017,https://boxd.it/b8wK
2025-01-20,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2025-01-20,Donnie Darko,2001,https://boxd.it/2b2A
2025-01-20,Jojo Rabbit,2019,https://boxd.it/iEBG
2025-01-20,Mean Girls,2004,https://boxd.it/1VNg
2025-01-20,Coco,2017,https://boxd.it/bYJQ
2025-01-20,Coraline,2009,https://boxd.it/1NhQ
2025-01-20,Deadpool,2016,https://boxd.it/9fOC
2025-01-20,Black Panther,2018,https://boxd.it/8MHs
2025-01-20,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2025-01-20,Up,2009,https://boxd.it/1OEc
2025-01-20,Howl's Moving Castle,2004,https://boxd.it/23De
2025-01-20,Little Miss Sunshine,2006,https://boxd.it/29EW
2025-01-20,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2025-01-20,The Hunger Games,2012,https://boxd.it/2uds
2025-01-20,Back to the Future,1985,https://boxd.it/2b8e
2025-01-20,Don't Look Up,2021,https://boxd.it/o0Hc
2025-01-20,Star Wars,1977,https://boxd.it/72s
2025-01-20,WALL·E,2008,https://boxd.it/1VEo
2025-01-20,Soul,2020,https://boxd.it/ioLA
2025-01-20,The Devil Wears Prada,2006,https://boxd.it/2awE
2025-01-20,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2025-01-20,Avatar: The Way of Water,2022,https://boxd.it/2E2E
2025-01-20,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2025-01-20,Top Gun: Maverick,2022,https://boxd.it/cjr4
2025-01-20,Bullet Train,2022,https://boxd.it/qW26
